Education_years,ResidRegion,Race1,Race2,Gender,MaritalStatus,PotLbrMktExp_years,UnionStatus,Wages_dollars
14,Not South,Otherwise,Otherwise,Male,Married,21,Otherwise,13.75
13,Not South,Otherwise,Hispanic,Female,Married,2,Otherwise,5.62
14,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,16,Otherwise,14.67
16,Not South,Otherwise,Otherwise,Male,Married,18,Otherwise,24.98
12,Not South,Otherwise,Otherwise,Male,Married,14,Otherwise,12
18,Not South,Otherwise,Otherwise,Male,Married,12,Otherwise,15
16,Not South,Otherwise,Otherwise,Male,Otherwise,3,Otherwise,5.77
17,Not South,Otherwise,Otherwise,Female,Married,13,Otherwise,12.65
16,Not South,Otherwise,Otherwise,Female,Otherwise,42,Otherwise,11.71
12,Not South,Otherwise,Otherwise,Male,Married,8,Otherwise,13
15,Not South,Otherwise,Otherwise,Female,Married,6,Otherwise,12.5
16,Not South,Otherwise,Otherwise,Male,Married,22,Otherwise,22.5
16,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Otherwise,3,Otherwise,11.25
16,Not South,Otherwise,Otherwise,Male,Married,33,Otherwise,15.38
13,Not South,Otherwise,Otherwise,Female,Otherwise,8,Union job,7.7
12,Not South,Otherwise,Otherwise,Male,Married,26,Otherwise,11.84
14,Not South,Otherwise,Otherwise,Male,Married,0,Otherwise,5
12,Not South,Otherwise,Otherwise,Male,Married,28,Otherwise,6.5
8,Not South,Otherwise,Otherwise,Male,Married,33,Union job,9
12,Not South,Otherwise,Otherwise,Male,Otherwise,0,Otherwise,3.35
12,Not South,Otherwise,Otherwise,Female,Married,7,Otherwise,4.5
14,Not South,Otherwise,Otherwise,Female,Married,12,Otherwise,10.53
9,Not South,Otherwise,Otherwise,Male,Married,47,Union job,3.5
16,Not South,Otherwise,Otherwise,Male,Married,12,Otherwise,15
12,Not South,Otherwise,Otherwise,Female,Otherwise,25,Otherwise,8.5
12,Not South,Otherwise,Otherwise,Female,Married,44,Otherwise,9.17
9,Not South,Otherwise,Otherwise,Male,Otherwise,33,Union job,9.6
8,Not South,Otherwise,Hispanic,Female,Married,22,Otherwise,6.88
18,Not South,Otherwise,Otherwise,Female,Married,14,Otherwise,13.95
14,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,22,Otherwise,10
12,Not South,Otherwise,Otherwise,Female,Otherwise,41,Otherwise,3.75
12,Not South,Otherwise,Otherwise,Female,Otherwise,8,Otherwise,8
12,Not South,Otherwise,Otherwise,Female,Married,43,Otherwise,11.67
8,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Otherwise,29,Otherwise,8.89
12,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,6,Union job,4
12,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Otherwise,21,Otherwise,5.5
16,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,3,Otherwise,3.35
12,Not South,Otherwise,Otherwise,Female,Married,40,Otherwise,10.81
12,Not South,Otherwise,Otherwise,Male,Married,5,Otherwise,7
13,Not South,Otherwise,Otherwise,Male,Married,34,Union job,10
16,Not South,Otherwise,Otherwise,Female,Married,10,Otherwise,5.4
12,Not South,Otherwise,Otherwise,Female,Otherwise,10,Otherwise,7.5
12,Not South,Otherwise,Otherwise,Male,Married,41,Union job,11.25
10,Not South,Otherwise,Otherwise,Female,Married,25,Union job,10
13,Not South,Otherwise,Otherwise,Male,Otherwise,0,Otherwise,4
18,Not South,Otherwise,Otherwise,Male,Married,14,Union job,13.51
12,Not South,Otherwise,Otherwise,Male,Otherwise,22,Otherwise,6.75
14,Not South,Otherwise,Otherwise,Female,Married,32,Otherwise,14.29
15,Not South,Otherwise,Otherwise,Female,Married,9,Otherwise,9.75
12,Not South,Otherwise,Otherwise,Female,Otherwise,0,Otherwise,3.35
8,Not South,Otherwise,Otherwise,Female,Otherwise,49,Otherwise,3.4
14,Not South,Otherwise,Otherwise,Female,Married,32,Otherwise,5.62
12,Not South,Otherwise,Otherwise,Male,Married,7,Union job,7
16,Not South,Otherwise,Otherwise,Female,Married,10,Otherwise,10
10,Not South,Otherwise,Otherwise,Female,Otherwise,44,Union job,6.1
12,Not South,Otherwise,Otherwise,Female,Married,27,Otherwise,4.17
12,Not South,Otherwise,Otherwise,Female,Married,16,Otherwise,4.8
12,Not South,Otherwise,Otherwise,Male,Married,3,Otherwise,5.75
12,Not South,Otherwise,Otherwise,Male,Married,8,Otherwise,4.75
17,Not South,Otherwise,Otherwise,Male,Married,7,Union job,9.37
12,Not South,Otherwise,Otherwise,Female,Otherwise,8,Otherwise,5.25
9,Not South,Otherwise,Otherwise,Female,Married,42,Otherwise,4.95
16,Not South,Otherwise,Otherwise,Female,Married,11,Otherwise,19.38
12,Not South,Otherwise,Otherwise,Male,Married,23,Otherwise,19.98
12,Not South,Otherwise,Otherwise,Male,Otherwise,4,Otherwise,4
12,Not South,Otherwise,Otherwise,Female,Otherwise,0,Otherwise,5
14,Not South,Otherwise,Otherwise,Male,Married,25,Otherwise,10.58
12,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,22,Union job,10
14,Not South,Otherwise,Hispanic,Female,Otherwise,15,Otherwise,7.38
15,Not South,Otherwise,Otherwise,Male,Otherwise,10,Otherwise,12.5
16,Not South,Otherwise,Otherwise,Female,Otherwise,20,Otherwise,4
12,Not South,Otherwise,Otherwise,Female,Married,24,Otherwise,15.03
12,South,Otherwise,Otherwise,Male,Married,12,Otherwise,16
12,South,Otherwise,Hispanic,Female,Otherwise,12,Otherwise,3.56
12,South,Otherwise,Hispanic,Male,Otherwise,16,Otherwise,4.5
12,South,Otherwise,Hispanic,Female,Otherwise,4,Otherwise,4.55
12,South,Otherwise,Hispanic,Female,Married,43,Otherwise,3.6
12,South,Otherwise,Otherwise,Female,Married,14,Otherwise,8
12,South,Otherwise,Otherwise,Female,Otherwise,10,Otherwise,4.75
12,South,Otherwise,Otherwise,Male,Married,2,Otherwise,6.73
12,South,Otherwise,Otherwise,Male,Married,28,Otherwise,11.11
7,South,Otherwise,Otherwise,Female,Married,15,Otherwise,6
12,South,Otherwise,Otherwise,Male,Married,20,Otherwise,10
12,South,Otherwise,Hispanic,Female,Married,30,Otherwise,11.25
12,South,Otherwise,Otherwise,Female,Married,9,Otherwise,3.95
16,South,Nonwhite and non-Hispanic,Otherwise,Male,Married,13,Otherwise,17.5
13,South,Otherwise,Otherwise,Female,Otherwise,1,Otherwise,3.55
16,South,Otherwise,Otherwise,Male,Otherwise,8,Otherwise,6
14,South,Otherwise,Otherwise,Male,Married,15,Otherwise,22
12,South,Otherwise,Otherwise,Female,Otherwise,6,Otherwise,6.25
7,South,Otherwise,Hispanic,Male,Married,14,Otherwise,4.5
13,South,Otherwise,Otherwise,Female,Otherwise,28,Otherwise,10.32
14,South,Otherwise,Otherwise,Male,Married,10,Otherwise,12.2
17,South,Otherwise,Otherwise,Male,Otherwise,14,Otherwise,18.16
16,South,Otherwise,Otherwise,Male,Married,10,Otherwise,15
13,South,Otherwise,Otherwise,Female,Married,10,Otherwise,8.75
14,South,Otherwise,Otherwise,Male,Married,44,Otherwise,19.98
16,Not South,Otherwise,Otherwise,Female,Otherwise,10,Union job,6.67
14,Not South,Otherwise,Otherwise,Male,Married,22,Union job,9.63
11,Not South,Otherwise,Otherwise,Male,Married,18,Union job,5.5
12,Not South,Otherwise,Otherwise,Female,Otherwise,9,Otherwise,8
18,Not South,Otherwise,Otherwise,Female,Married,19,Otherwise,20
17,Not South,Otherwise,Otherwise,Female,Married,14,Otherwise,9.5
16,Not South,Otherwise,Otherwise,Female,Otherwise,6,Union job,11.79
16,Not South,Otherwise,Otherwise,Female,Otherwise,17,Otherwise,13.89
11,Not South,Otherwise,Otherwise,Female,Married,24,Otherwise,5.5
11,Not South,Otherwise,Otherwise,Female,Otherwise,12,Otherwise,7
12,Not South,Otherwise,Otherwise,Female,Married,38,Otherwise,9.65
15,Not South,Otherwise,Otherwise,Female,Otherwise,33,Otherwise,10.61
14,Not South,Otherwise,Otherwise,Female,Married,10,Otherwise,12
14,Not South,Otherwise,Otherwise,Female,Married,14,Otherwise,8.56
14,Not South,Otherwise,Otherwise,Male,Otherwise,16,Otherwise,16.14
11,Not South,Otherwise,Otherwise,Male,Otherwise,11,Otherwise,3.75
16,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Married,6,Otherwise,9
12,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Married,33,Otherwise,13.12
16,Not South,Otherwise,Otherwise,Male,Otherwise,10,Otherwise,13.2
12,Not South,Otherwise,Otherwise,Male,Otherwise,19,Otherwise,9.25
12,Not South,Otherwise,Hispanic,Male,Otherwise,4,Otherwise,5
17,Not South,Otherwise,Otherwise,Female,Otherwise,3,Union job,6
12,Not South,Otherwise,Otherwise,Female,Married,32,Otherwise,7
8,Not South,Otherwise,Otherwise,Male,Married,19,Otherwise,4.7
16,Not South,Otherwise,Otherwise,Female,Married,22,Otherwise,7.5
18,Not South,Otherwise,Otherwise,Male,Married,33,Otherwise,7
18,Not South,Otherwise,Otherwise,Male,Married,19,Otherwise,11.22
18,Not South,Otherwise,Otherwise,Male,Married,3,Otherwise,5.71
12,Not South,Otherwise,Otherwise,Male,Married,12,Otherwise,5.5
12,Not South,Otherwise,Otherwise,Male,Married,16,Otherwise,9
12,Not South,Otherwise,Otherwise,Female,Married,4,Otherwise,4.13
12,Not South,Otherwise,Otherwise,Male,Married,11,Union job,10
12,Not South,Otherwise,Otherwise,Male,Married,17,Otherwise,7.5
11,Not South,Otherwise,Otherwise,Male,Otherwise,16,Otherwise,3.65
12,Not South,Otherwise,Otherwise,Male,Married,18,Otherwise,8.89
18,Not South,Otherwise,Otherwise,Male,Married,15,Otherwise,18
14,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,0,Otherwise,3.35
16,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,8,Otherwise,13.45
16,Not South,Otherwise,Otherwise,Male,Married,17,Otherwise,22.5
18,Not South,Otherwise,Otherwise,Male,Otherwise,13,Otherwise,19
12,Not South,Otherwise,Otherwise,Female,Married,18,Otherwise,8.93
11,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Married,16,Otherwise,7
14,Not South,Otherwise,Otherwise,Female,Otherwise,24,Otherwise,4.17
12,Not South,Otherwise,Otherwise,Male,Married,23,Otherwise,9.83
12,Not South,Otherwise,Otherwise,Male,Otherwise,1,Otherwise,6.67
12,Not South,Otherwise,Otherwise,Female,Married,10,Union job,7
12,Not South,Otherwise,Otherwise,Female,Married,42,Otherwise,3.64
18,Not South,Otherwise,Otherwise,Female,Otherwise,37,Otherwise,22.83
12,Not South,Otherwise,Otherwise,Female,Married,14,Otherwise,5
18,Not South,Otherwise,Otherwise,Male,Married,14,Otherwise,22.5
12,Not South,Otherwise,Otherwise,Female,Married,11,Otherwise,12
12,Not South,Otherwise,Otherwise,Female,Married,38,Otherwise,6.28
12,Not South,Otherwise,Otherwise,Female,Otherwise,3,Otherwise,4.5
12,Not South,Otherwise,Otherwise,Male,Married,9,Otherwise,6
10,Not South,Otherwise,Otherwise,Male,Married,13,Otherwise,6.75
12,Not South,Otherwise,Otherwise,Male,Otherwise,9,Otherwise,8.75
16,Not South,Otherwise,Otherwise,Male,Married,11,Otherwise,13.28
13,Not South,Otherwise,Otherwise,Female,Married,30,Otherwise,6.25
12,Not South,Otherwise,Otherwise,Female,Otherwise,15,Union job,8.99
14,Not South,Otherwise,Otherwise,Male,Otherwise,2,Otherwise,7.5
17,Not South,Otherwise,Otherwise,Female,Married,24,Otherwise,12
18,Not South,Otherwise,Otherwise,Female,Otherwise,31,Union job,14
14,Not South,Otherwise,Otherwise,Male,Otherwise,19,Otherwise,16.42
14,Not South,Otherwise,Otherwise,Male,Otherwise,2,Otherwise,6.25
12,Not South,Otherwise,Otherwise,Male,Married,4,Union job,10.5
9,Not South,Otherwise,Otherwise,Female,Married,46,Union job,9.5
6,Not South,Otherwise,Hispanic,Female,Married,43,Union job,3
14,Not South,Otherwise,Otherwise,Female,Married,13,Otherwise,9.22
12,Not South,Otherwise,Otherwise,Female,Otherwise,15,Otherwise,4
12,Not South,Otherwise,Otherwise,Female,Otherwise,16,Otherwise,3.8
12,Not South,Otherwise,Otherwise,Female,Married,19,Otherwise,6
12,Not South,Otherwise,Otherwise,Female,Married,28,Otherwise,5
12,Not South,Otherwise,Otherwise,Male,Married,42,Otherwise,15
11,Not South,Otherwise,Otherwise,Female,Otherwise,45,Union job,5.55
16,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,7,Otherwise,9
17,Not South,Otherwise,Otherwise,Male,Married,31,Otherwise,24.98
12,Not South,Otherwise,Otherwise,Female,Married,24,Otherwise,8.49
14,Not South,Otherwise,Hispanic,Female,Married,17,Otherwise,5
12,Not South,Otherwise,Otherwise,Male,Married,26,Union job,22.2
16,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,5,Union job,9.24
16,Not South,Otherwise,Hispanic,Female,Married,17,Otherwise,8
10,South,Otherwise,Otherwise,Female,Otherwise,33,Otherwise,3.5
13,South,Otherwise,Otherwise,Female,Married,2,Otherwise,3.35
16,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,14,Otherwise,3.35
16,South,Otherwise,Otherwise,Female,Married,28,Union job,20
12,South,Otherwise,Otherwise,Female,Otherwise,46,Otherwise,4
16,South,Otherwise,Otherwise,Male,Married,38,Otherwise,18
13,South,Otherwise,Otherwise,Female,Otherwise,0,Otherwise,4.5
12,South,Otherwise,Otherwise,Female,Otherwise,1,Otherwise,7.81
12,South,Otherwise,Otherwise,Female,Married,5,Otherwise,1.75
18,South,Otherwise,Hispanic,Female,Married,13,Otherwise,5.2
10,South,Otherwise,Otherwise,Male,Otherwise,19,Otherwise,8.75
12,South,Otherwise,Otherwise,Male,Married,5,Otherwise,5
12,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,6,Otherwise,3.75
13,South,Otherwise,Otherwise,Male,Married,9,Otherwise,5.95
12,South,Otherwise,Hispanic,Male,Otherwise,7,Otherwise,4
17,South,Otherwise,Otherwise,Female,Otherwise,1,Otherwise,5
6,South,Nonwhite and non-Hispanic,Otherwise,Female,Otherwise,33,Otherwise,4.62
12,South,Otherwise,Otherwise,Female,Married,21,Otherwise,5.75
18,Not South,Otherwise,Otherwise,Male,Married,29,Otherwise,24.98
18,Not South,Otherwise,Otherwise,Male,Married,7,Otherwise,15.79
16,Not South,Otherwise,Otherwise,Male,Otherwise,10,Otherwise,15.56
16,Not South,Otherwise,Otherwise,Male,Otherwise,9,Otherwise,3.35
18,Not South,Otherwise,Otherwise,Male,Married,7,Otherwise,18.16
18,Not South,Otherwise,Otherwise,Male,Otherwise,33,Union job,8
13,Not South,Otherwise,Otherwise,Male,Otherwise,31,Otherwise,6
18,Not South,Otherwise,Otherwise,Male,Married,5,Otherwise,17.25
16,Not South,Otherwise,Otherwise,Female,Otherwise,2,Otherwise,5.5
12,Not South,Otherwise,Otherwise,Male,Otherwise,20,Otherwise,7.65
16,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,4,Otherwise,6.25
12,Not South,Otherwise,Otherwise,Female,Married,45,Otherwise,6.4
12,Not South,Otherwise,Otherwise,Female,Married,24,Otherwise,6.58
12,Not South,Otherwise,Otherwise,Male,Married,43,Otherwise,12.5
18,Not South,Otherwise,Otherwise,Male,Married,10,Otherwise,13.33
12,Not South,Otherwise,Otherwise,Male,Otherwise,3,Otherwise,5.5
15,Not South,Otherwise,Otherwise,Male,Otherwise,5,Otherwise,11.25
12,Not South,Otherwise,Otherwise,Female,Otherwise,45,Otherwise,10.62
12,Not South,Nonwhite and non-Hispanic,Otherwise,Female,Married,43,Union job,8
17,Not South,Otherwise,Otherwise,Female,Married,26,Union job,10.2
12,Not South,Otherwise,Otherwise,Female,Married,42,Otherwise,5.79
12,Not South,Otherwise,Otherwise,Male,Married,37,Otherwise,7.3
14,Not South,Otherwise,Otherwise,Female,Otherwise,1,Otherwise,44.5
13,Not South,Otherwise,Otherwise,Female,Married,14,Otherwise,10.5
12,Not South,Otherwise,Otherwise,Male,Married,8,Otherwise,9.36
12,Not South,Otherwise,Otherwise,Female,Married,24,Otherwise,5.2
12,Not South,Otherwise,Otherwise,Female,Married,20,Otherwise,4.25
17,Not South,Otherwise,Otherwise,Female,Otherwise,13,Union job,15.95
15,Not South,Otherwise,Otherwise,Male,Married,12,Otherwise,22.5
16,South,Otherwise,Otherwise,Female,Married,4,Otherwise,5
12,South,Nonwhite and non-Hispanic,Otherwise,Male,Married,14,Otherwise,5.3
18,South,Otherwise,Otherwise,Male,Married,14,Otherwise,6.25
18,South,Otherwise,Otherwise,Female,Otherwise,13,Otherwise,10
12,South,Otherwise,Otherwise,Male,Married,20,Otherwise,5.5
9,South,Otherwise,Otherwise,Female,Married,30,Otherwise,6.8
12,South,Otherwise,Otherwise,Female,Married,28,Otherwise,3
16,South,Otherwise,Otherwise,Male,Married,14,Union job,10
10,South,Otherwise,Otherwise,Male,Otherwise,13,Otherwise,4.85
12,South,Otherwise,Otherwise,Male,Married,32,Otherwise,9.42
15,South,Otherwise,Otherwise,Female,Otherwise,26,Otherwise,6
13,South,Otherwise,Otherwise,Female,Otherwise,0,Otherwise,4.25
14,South,Otherwise,Otherwise,Male,Married,12,Union job,11.02
12,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,32,Otherwise,12.16
12,South,Otherwise,Otherwise,Male,Married,12,Otherwise,8.43
12,South,Otherwise,Otherwise,Male,Otherwise,3,Otherwise,11.43
9,South,Otherwise,Otherwise,Male,Married,29,Otherwise,19.98
14,South,Otherwise,Otherwise,Female,Otherwise,10,Otherwise,6.88
12,Not South,Otherwise,Otherwise,Female,Married,16,Union job,5.71
12,Not South,Otherwise,Otherwise,Female,Married,8,Otherwise,3.35
9,Not South,Otherwise,Otherwise,Female,Married,16,Otherwise,4.85
12,Not South,Otherwise,Otherwise,Female,Married,15,Otherwise,5.75
12,Not South,Otherwise,Otherwise,Female,Married,18,Otherwise,5.4
12,Not South,Otherwise,Otherwise,Female,Married,38,Otherwise,13.16
12,Not South,Otherwise,Otherwise,Female,Married,13,Otherwise,11.32
13,Not South,Otherwise,Otherwise,Male,Married,18,Otherwise,8.75
12,Not South,Otherwise,Otherwise,Male,Married,19,Union job,12.22
10,Not South,Otherwise,Otherwise,Male,Married,15,Otherwise,5.25
14,South,Otherwise,Otherwise,Male,Otherwise,5,Otherwise,5.56
12,South,Otherwise,Otherwise,Female,Married,36,Otherwise,4.59
12,South,Otherwise,Otherwise,Male,Married,38,Otherwise,7.5
12,South,Otherwise,Otherwise,Male,Otherwise,5,Otherwise,12
12,South,Otherwise,Otherwise,Male,Married,35,Union job,16
11,South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,3,Otherwise,3.35
10,South,Otherwise,Otherwise,Male,Otherwise,27,Otherwise,4.45
12,South,Otherwise,Otherwise,Female,Married,29,Otherwise,4.25
10,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,38,Otherwise,13.1
10,South,Otherwise,Otherwise,Male,Married,9,Otherwise,7
6,South,Otherwise,Otherwise,Male,Married,45,Otherwise,5.75
8,South,Otherwise,Otherwise,Male,Married,27,Otherwise,6.5
12,South,Nonwhite and non-Hispanic,Otherwise,Male,Married,20,Otherwise,7.61
16,South,Otherwise,Otherwise,Male,Married,14,Union job,20.5
12,South,Otherwise,Otherwise,Male,Otherwise,1,Otherwise,6.25
11,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,25,Otherwise,3.84
14,South,Otherwise,Otherwise,Male,Married,21,Otherwise,16.65
17,Not South,Otherwise,Otherwise,Female,Otherwise,10,Otherwise,11.25
14,Not South,Otherwise,Otherwise,Male,Otherwise,2,Otherwise,5.65
11,Not South,Otherwise,Otherwise,Male,Otherwise,17,Otherwise,6.5
12,Not South,Otherwise,Otherwise,Female,Married,24,Otherwise,7.75
12,Not South,Otherwise,Otherwise,Male,Married,26,Union job,6.93
12,Not South,Otherwise,Otherwise,Male,Married,39,Union job,15
7,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Married,42,Union job,7
7,South,Otherwise,Otherwise,Male,Married,43,Otherwise,3.35
12,South,Otherwise,Otherwise,Male,Otherwise,5,Otherwise,6.5
16,South,Otherwise,Hispanic,Female,Married,7,Otherwise,6.25
13,South,Otherwise,Otherwise,Female,Married,6,Otherwise,5
13,South,Nonwhite and non-Hispanic,Otherwise,Female,Otherwise,1,Otherwise,3.45
14,South,Otherwise,Otherwise,Male,Married,41,Otherwise,8.8
16,South,Otherwise,Otherwise,Female,Married,4,Otherwise,10
11,South,Otherwise,Otherwise,Female,Married,25,Union job,4
12,South,Otherwise,Otherwise,Female,Married,39,Otherwise,9.5
14,South,Otherwise,Otherwise,Female,Married,15,Otherwise,10.43
18,South,Otherwise,Otherwise,Male,Married,10,Otherwise,5.21
12,South,Otherwise,Otherwise,Female,Otherwise,20,Otherwise,7.5
17,South,Otherwise,Otherwise,Male,Married,2,Otherwise,7
11,South,Nonwhite and non-Hispanic,Otherwise,Male,Married,28,Union job,10.78
10,South,Otherwise,Otherwise,Male,Married,27,Union job,8.9
16,South,Otherwise,Otherwise,Female,Otherwise,13,Otherwise,3.75
15,South,Otherwise,Otherwise,Male,Otherwise,4,Otherwise,3.75
12,Not South,Otherwise,Otherwise,Male,Otherwise,13,Otherwise,9.45
12,Not South,Otherwise,Otherwise,Male,Married,33,Union job,15
12,Not South,Otherwise,Otherwise,Female,Otherwise,6,Otherwise,3.6
18,Not South,Otherwise,Otherwise,Male,Married,23,Union job,12
16,Not South,Otherwise,Otherwise,Female,Married,6,Otherwise,10.62
16,Not South,Otherwise,Otherwise,Female,Married,16,Otherwise,14
16,Not South,Otherwise,Otherwise,Male,Otherwise,3,Union job,5
12,Not South,Otherwise,Otherwise,Male,Otherwise,19,Union job,11.5
12,Not South,Otherwise,Otherwise,Male,Married,43,Union job,13.71
12,South,Otherwise,Otherwise,Male,Married,34,Otherwise,10.62
12,South,Otherwise,Otherwise,Female,Otherwise,25,Otherwise,7.45
10,South,Nonwhite and non-Hispanic,Otherwise,Male,Married,41,Union job,6.75
17,South,Nonwhite and non-Hispanic,Otherwise,Female,Otherwise,6,Otherwise,5.87
12,South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,2,Otherwise,3.43
8,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,37,Otherwise,4.35
12,South,Nonwhite and non-Hispanic,Otherwise,Male,Married,19,Union job,13
10,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,37,Otherwise,3.51
13,South,Otherwise,Otherwise,Male,Otherwise,8,Otherwise,4.3
18,South,Otherwise,Otherwise,Male,Married,12,Otherwise,5.85
12,Not South,Otherwise,Otherwise,Male,Otherwise,8,Otherwise,6
16,Not South,Otherwise,Otherwise,Male,Married,13,Union job,11
13,Not South,Otherwise,Otherwise,Male,Otherwise,32,Otherwise,21.25
16,Not South,Otherwise,Otherwise,Male,Married,18,Otherwise,14.53
12,Not South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,8,Otherwise,6.85
16,Not South,Otherwise,Otherwise,Female,Married,7,Otherwise,10
16,South,Otherwise,Otherwise,Female,Otherwise,5,Otherwise,24.98
12,South,Otherwise,Otherwise,Female,Married,17,Otherwise,3.75
11,South,Otherwise,Otherwise,Male,Married,39,Otherwise,6.5
12,South,Otherwise,Otherwise,Male,Otherwise,4,Otherwise,5
8,South,Otherwise,Otherwise,Female,Otherwise,45,Otherwise,4.55
12,Not South,Otherwise,Otherwise,Male,Otherwise,8,Otherwise,6.5
16,Not South,Otherwise,Otherwise,Male,Otherwise,9,Otherwise,10.58
12,Not South,Otherwise,Otherwise,Male,Married,23,Otherwise,9.56
16,Not South,Otherwise,Otherwise,Female,Married,14,Otherwise,12
12,Not South,Otherwise,Otherwise,Female,Otherwise,16,Otherwise,8.5
12,Not South,Otherwise,Otherwise,Female,Married,15,Otherwise,4.1
12,Not South,Otherwise,Otherwise,Female,Otherwise,15,Otherwise,4.5
16,Not South,Otherwise,Otherwise,Male,Married,16,Otherwise,11.5
14,Not South,Otherwise,Otherwise,Male,Otherwise,13,Otherwise,8.9
11,Not South,Otherwise,Otherwise,Male,Otherwise,15,Union job,14.21
16,Not South,Otherwise,Otherwise,Male,Married,11,Otherwise,13.65
18,Not South,Otherwise,Otherwise,Female,Otherwise,40,Otherwise,22.2
18,Not South,Otherwise,Otherwise,Female,Married,11,Otherwise,15
13,South,Otherwise,Otherwise,Male,Married,17,Otherwise,8.06
12,South,Otherwise,Otherwise,Male,Married,12,Otherwise,6.75
11,South,Nonwhite and non-Hispanic,Otherwise,Male,Married,14,Otherwise,4.5
12,South,Otherwise,Otherwise,Female,Married,26,Otherwise,7
12,South,Nonwhite and non-Hispanic,Otherwise,Female,Married,27,Otherwise,7.5
12,South,Otherwise,Otherwise,Female,Married,16,Otherwise,7.5
12,South,Nonwhite and non-Hispanic,Otherwise,Male,Otherwise,2,Otherwise,8.5
7,South,Otherwise,Otherwise,Male,Married,44,Otherwise,8
8,South,Otherwise,Hispanic,Male,Married,8,Otherwise,3.5
12,South,Otherwise,Otherwise,Male,Married,9,Otherwise,12.5
12,South,Otherwise,Hispanic,Male,Otherwise,1,Union job,6
16,South,Otherwise,Otherwise,Female,Otherwise,2,Otherwise,5.25
12,South,Otherwise,Otherwise,Male,Otherwise,6,Otherwise,5
